,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,Common,Crossover,Exotic,Factory Tuner,Hatchback,High-Performance,Hybrid,Luxury,Performance,City Preference,Highway Preference,Vehicle_Title_Partial
0,BMW,1 Series M,2011,gasoline,335,6,MANUAL,RWD,2,Compact,Coupe,26,19,3916,46135,False,False,False,True,False,True,False,True,False,False,True,2011 BMW 1 Series M Coupe
1,BMW,1 Series,2011,gasoline,300,6,MANUAL,RWD,2,Compact,Convertible,28,19,3916,40650,False,False,False,False,False,False,False,True,True,False,True,2011 BMW 1 Series Convertible
2,BMW,1 Series,2011,gasoline,300,6,MANUAL,RWD,2,Compact,Coupe,28,20,3916,36350,False,False,False,False,False,True,False,True,False,False,True,2011 BMW 1 Series Coupe
5,BMW,1 Series,2012,gasoline,230,6,MANUAL,RWD,2,Compact,Coupe,28,18,3916,31200,False,False,False,False,False,False,False,True,True,False,True,2012 BMW 1 Series Coupe
6,BMW,1 Series,2012,gasoline,300,6,MANUAL,RWD,2,Compact,Convertible,26,17,3916,44100,False,False,False,False,False,False,False,True,True,False,True,2012 BMW 1 Series Convertible
9,BMW,1 Series,2013,gasoline,230,6,MANUAL,RWD,2,Compact,Convertible,27,18,3916,37200,False,False,False,False,False,False,False,True,False,False,True,2013 BMW 1 Series Convertible
10,BMW,1 Series,2013,gasoline,300,6,MANUAL,RWD,2,Compact,Coupe,28,20,3916,39600,False,False,False,False,False,True,False,True,False,False,True,2013 BMW 1 Series Coupe
17,FIAT,124 Spider,2017,gasoline,160,4,MANUAL,RWD,2,Compact,Convertible,35,26,819,27495,False,False,False,False,False,False,False,False,True,True,False,2017 FIAT 124 Spider Convertible
20,BMW,2 Series,2016,gasoline,240,4,AUTOMATIC,RWD,2,Compact,Coupe,35,23,3916,32850,False,False,False,False,False,False,False,True,True,True,False,2016 BMW 2 Series Coupe
21,BMW,2 Series,2016,gasoline,240,4,AUTOMATIC,RWD,2,Compact,Convertible,34,23,3916,38650,False,False,False,False,False,False,False,True,False,True,False,2016 BMW 2 Series Convertible
29,BMW,2 Series,2017,gasoline,335,6,AUTOMATIC,AWD,2,Compact,Coupe,31,21,3916,46450,False,False,False,True,False,True,False,True,False,False,True,2017 BMW 2 Series Coupe
30,BMW,2 Series,2017,gasoline,335,6,AUTOMATIC,RWD,2,Compact,Convertible,32,21,3916,49050,False,False,False,True,False,True,False,True,False,False,True,2017 BMW 2 Series Convertible
37,Chrysler,200,2015,flex-fuel,184,4,AUTOMATIC,FWD,4,Midsize,Sedan,36,23,1013,25170,False,False,False,False,False,False,False,False,False,True,False,2015 Chrysler 200 Sedan
43,Chrysler,200,2016,flex-fuel,184,4,AUTOMATIC,FWD,4,Midsize,Sedan,36,23,1013,21995,False,False,False,False,False,False,False,False,False,True,False,2016 Chrysler 200 Sedan
51,Chrysler,200,2017,flex-fuel,295,6,AUTOMATIC,AWD,4,Midsize,Sedan,28,18,1013,29905,False,False,False,False,False,False,False,False,True,False,True,2017 Chrysler 200 Sedan
60,Mazda,2,2012,gasoline,100,4,MANUAL,FWD,4,Compact,Hatchback,35,29,586,16020,False,False,False,False,True,False,False,False,False,True,False,2012 Mazda 2 Hatchback
64,Mazda,2,2013,gasoline,100,4,AUTOMATIC,FWD,4,Compact,Hatchback,34,28,586,17050,False,False,False,False,True,False,False,False,False,True,False,2013 Mazda 2 Hatchback
68,Mazda,2,2014,gasoline,100,4,AUTOMATIC,FWD,4,Compact,Hatchback,34,28,586,17050,False,False,False,False,True,False,False,False,False,True,False,2014 Mazda 2 Hatchback
72,BMW,3 Series Gran Turismo,2015,gasoline,300,6,AUTOMATIC,AWD,4,Midsize,Hatchback,30,20,3916,47250,False,False,False,False,True,False,False,True,True,False,True,2015 BMW 3 Series Gran Turismo Hatchback
75,BMW,3 Series Gran Turismo,2016,gasoline,240,4,AUTOMATIC,AWD,4,Midsize,Hatchback,34,22,3916,43000,False,False,False,False,True,False,False,True,False,True,False,2016 BMW 3 Series Gran Turismo Hatchback
77,BMW,3 Series Gran Turismo,2017,gasoline,320,6,AUTOMATIC,AWD,4,Midsize,Hatchback,30,20,3916,49650,False,False,False,False,True,False,False,True,True,False,True,2017 BMW 3 Series Gran Turismo Hatchback
79,BMW,3 Series,2015,gasoline,241,4,AUTOMATIC,AWD,4,Midsize,Wagon,33,22,3916,41950,False,False,False,False,False,False,False,True,False,True,False,2015 BMW 3 Series Wagon
80,BMW,3 Series,2015,gasoline,335,6,AUTOMATIC,RWD,4,Midsize,Sedan,33,25,3916,50150,False,False,False,False,False,True,True,True,False,True,False,2015 BMW 3 Series Sedan
83,BMW,3 Series,2015,diesel,180,4,AUTOMATIC,RWD,4,Midsize,Sedan,45,32,3916,39000,False,False,False,False,False,False,False,True,False,True,False,2015 BMW 3 Series Sedan
