reviewId,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,Common,Crossover,Exotic,Factory Tuner,Hatchback,High-Performance,Hybrid,Luxury,Performance,Vehicle_Title_Partial
0, on 07/28/10 07:30 AM (PDT),Bob ,2010 Acura ZDX Hatchback Advance Package 4dr Hatchback AWD (3.7L 6cyl 6A),This is truly a driver's car," I love the fact that with SH-AWD the more gas you give it the better it hugs the turns. You really can feel it working and shuffling power around as needed when driving enthusiastically. I spent a few weeks with it in the snow and actually tried to make the tires slip by jumping on the gas. All the electronics went to work and I briskly took off with no drama.  The ZDX easily has one of the best interiors of any vehicle in its price range or even above it, and with the advance package you get the adjustable shocks to smooth things out when the wife is in the car. Switching from Comfort to Sport mode feels like going from a Lexus RX to a BMW X5 but with even better handling. ",5.0,Acura,ZDX,2013,gasoline,300.0,6,AUTOMATIC,AWD,4,Midsize,Hatchback,23,16,204,50920,False,True,False,False,True,False,False,True,False,2013 Acura ZDX 4dr Hatchback AWD (6cyl)
1, on 09/26/17 10:07 AM (PDT),Brian ,2017 Acura RDX SUV 4dr SUV AWD (3.5L 6cyl 6A),Brake System Issue," A brake system issue started after 2 weeks of lease.  The dealer cannot solve the problem.  Also, the car feels and sounds cheap - light doors, noisy.",1.0,Acura,MDX,2017,gasoline,290.0,6,AUTOMATIC,AWD,4,Midsize,SUV,26,19,204,56400,False,True,False,False,False,False,False,True,False,2017 Acura MDX 4dr SUV AWD (6cyl)
2, on 12/26/16 18:08 PM (PST),Scott ,2017 Acura RDX SUV 4dr SUV AWD (3.5L 6cyl 6A),So far so good.," UPDATE 12/27/17 - after owning this car for 13 months and 12k miles, nothing has changed. Basic maintenance and same comfort and performance. My only minor complaint is the passenger window occasionally goes down about a half inch on its own. I notice because it rattles. I don't know why it dies this- almost like road bumps rattle it loose. I switch between regular and premium gas and notice no difference in mpg. Car feels like it runs better on premium but not enough to justify the 70 cents + per gallon difference. Overall, I really enjoy this vehicle. I chose the base AWD because I did not like the stereo and navigation interface on the technology package and above. I also did not get Acura watch package because it's not perfected.  The only options I wish I had are blind spot monitor and rear cross traffic.  Get about 21 mpg overall so far and it is winter.  The past 3 days has been 32-40 degrees and I've been getting about 24 in mixed driving on regular.  Overall, the RDX has great acceleration and great value vs its main competitors.  Nothing else comparable with a luxury nameplate comes close. I only have 3 minor complaints. 1) use of cargo space could be better. My wife has a Mazda CX5 and her car holds way more and has nice little cubbies the RDX lacks. 2) handling. Again, comparing to the CX5 steering is vague and lacks feedback. 3) When using the Bluetooth it's really hard to hear. Voices very tinny and have to have volume on very high to hear the other line. It's a little odd because the stereo and speakers are otherwise fine. Overall, I definitely recommend. Bulletproof engine and transmission and again, it's hard to match at its price point.",4.0,Acura,MDX,2017,gasoline,290.0,6,AUTOMATIC,AWD,4,Midsize,SUV,26,19,204,56400,False,True,False,False,False,False,False,True,False,2017 Acura MDX 4dr SUV AWD (6cyl)
3, on 10/18/17 09:25 AM (PDT),Alex ,2018 Acura RDX SUV 4dr SUV AWD (3.5L 6cyl 6A),Nice whip!," Very smooth driving, almost no road noise. Great SUV so far!",5.0,Acura,RDX,2016,gasoline,279.0,6,AUTOMATIC,FWD,4,Midsize,SUV,29,20,204,36670,False,True,False,False,False,False,False,True,False,2016 Acura RDX 4dr SUV FWD (6cyl)
4, on 04/18/18 11:29 AM (PDT),Lori ,2015 Acura RDX SUV 4dr SUV AWD (3.5L 6cyl 6A),Need a button?, There is no interior or exterior button to automatically open the trunk. You have to stop the car turn it off and get out to open the rear hatch unless you want to pull out your fob and hit a button from there. You also have to manually close it. Should have been included in a car in this price range,3.0,Acura,MDX,2015,gasoline,290.0,6,AUTOMATIC,AWD,4,Midsize,SUV,27,18,204,44565,False,True,False,False,False,False,False,True,False,2015 Acura MDX 4dr SUV AWD (6cyl)
5, on 01/19/18 09:09 AM (PST),CD ,2012 Acura TL Sedan 4dr Sedan (3.5L 6cyl 6A),disappointed," Purchased the car brand new in 2011. Have been disappointed in several things, the center console armrest leather ripped after only 4 years and no real wear and tear. Dealer wanted $350 to replace so I did it myself for about $50. The exterior chrome molding/gasket came loose on both sides and cost $400 to replace each. The passenger AC ducts became stuck in 1 position and had to pay another $400 to fix. There are 2 individual sides and now both sides have become stuck in 1 position again. Battery was replaced twice in 3 years, after it was no longer covered by warranty I went to Sam's Club and purchased their battery and haven't had a problem yet.  Brake pads/rotors showed rust after 1 year. Disappointed in quality and won't purchase again.",3.0,Acura,TL,2012,gasoline,305.0,6,AUTOMATIC,AWD,4,Midsize,Sedan,26,18,204,42985,False,False,False,False,False,False,False,True,True,2012 Acura TL 4dr Sedan AWD (6cyl)
6, on 05/15/16 16:46 PM (PDT),John ,2012 Acura TL Sedan 4dr Sedan (3.5L 6cyl 6A),Great Car," Had to sell my new 2015 Honda Accord.  Did not like the driver seating ergonomics.  They did not reveal the issues during the test drive.Went with this used TL instead.  Wow.  What a car.  Very comfortable.  I can actually see the gauges instead of the steering wheel nearly completely blocking them.  Very quick.  I really have to watch the speed.  Quiet.  Quiet interior with respect to tire and wind noise.  Great package.  The low speed shifts are a little wonky, but that is my only complaint.",5.0,Acura,TL,2012,gasoline,305.0,6,AUTOMATIC,AWD,4,Midsize,Sedan,26,18,204,42985,False,False,False,False,False,False,False,True,True,2012 Acura TL 4dr Sedan AWD (6cyl)
7, on 01/27/16 21:36 PM (PST),Nick ,2012 Acura TL Sedan 4dr Sedan (3.5L 6cyl 6A),3.7L SH AWD," Bought this car from a nj dealership in aug.2015. Traded in my truck and just needed something to get me from point A to B. Quite frankly, this car rocks!!! I took this car on the highway-- I-80 North..it took my breath away when it hits the corners. The AWD drive is just unbelievably impressive, even at high speeds. The seats hugs every inch of your body, keeping you sucked in as the car hits high speeds in twist and turns. Not muscle car status, BUT it delivers a wallop of a ride. Good job Acura.  The voice recognition and Bluetooth are very responsive, in fact the entire tech setup is ergonomically satisfying.Only objection: TOO COMFORTABLE.",5.0,Acura,TL,2012,gasoline,305.0,6,AUTOMATIC,AWD,4,Midsize,Sedan,26,18,204,42985,False,False,False,False,False,False,False,True,True,2012 Acura TL 4dr Sedan AWD (6cyl)
8, on 04/17/17 07:29 AM (PDT),John ,2014 Acura TL Sedan 4dr Sedan (3.5L 6cyl 6A),My RELIABLE & LUXURY Acura TL," I was never really interested in the Acua TL, I was really into a Honda Civic and Nissan Altima, But none of those cars can beat the Acura TL. I was looking threw dealers and the Acura really caught my attention. I stopped by and test drove two Acura's, The ILX and TL. The TL was the best one. The dealer gave me a great price so I took the TL home. My wife and kids loved it, It was great for my family. I had the TL for 4 years now and I never had a single problem with the car. I would recommend the car if you like ride, comfort, reliability, performance and safety.",5.0,Acura,TL,2013,gasoline,280.0,6,AUTOMATIC,FWD,4,Midsize,Sedan,29,20,204,39635,False,False,False,False,False,False,False,True,True,2013 Acura TL 4dr Sedan FWD (6cyl)
9, on 04/17/17 06:58 AM (PDT),John ,2014 Acura TL Sedan 4dr Sedan (3.5L 6cyl 6A),My luxury RELIABLE Acura TL," I never really thought about buying an Acura, I was really into a Honda Civic and Nissans. I drove the civic and it was NOTHING compared to the TL (Same for Nissan) So I just wanted to stop by an Acura dealer to check out the new TL, I looked and was shocked by the low price they put. So I went to a worker and wanted to test drive it. It was really comforting and you just take off from accelerating. So I bought the car for a really cheap price and took it home. My wife fell in love with the car, It was great for my family. I had the TL for 3 years so now and I had  NO problem. It never broke down no engine problems, it was like an angel. It's nothing compared to Audi, Volkswagen, BMW and Mercedes. I recommend this car to people who like comfort, reliability, luxury and performance.",5.0,Acura,TL,2013,gasoline,280.0,6,AUTOMATIC,FWD,4,Midsize,Sedan,29,20,204,39635,False,False,False,False,False,False,False,True,True,2013 Acura TL 4dr Sedan FWD (6cyl)
